BRNO,IS_WEEKEND,TIME_SLOT,VISITOR_COUNT,CONGESTION_LEVEL,TOTAL_PAYMENT_AMT,AVG_PAYMENT_AMT,STORE_NM,ROAD_NM_CD,ACTIVITY_TYPE_CD
1068212718.0,0,morning,2,LOW,3000.0,3000.0,아라,3275022.0,3
1068212718.0,1,afternoon,16,MEDIUM,62300.0,15575.0,아라,3275022.0,3
1068212718.0,1,morning,12,MEDIUM,27500.0,9166.666666666666,아라,3275022.0,3
1068307115.0,0,afternoon,2,LOW,2460.0,2460.0,국방대영외마트,4565941.0,2
1068536588.0,1,morning,2,LOW,900.0,900.0,롯데리아,4106418.0,1
1068638996.0,0,afternoon,2,LOW,27400.0,27400.0,현대옥,4106418.0,1
1071086161.0,1,afternoon,2,LOW,55000.0,55000.0,가막도횟집,4637093.0,1
1071251180.0,0,afternoon,2,LOW,34000.0,34000.0,월악산시골밥상,4517573.0,1
1072153818.0,0,night,3,LOW,16300.0,16300.0,월하재,4598334.0,1
1072153818.0,1,afternoon,2,LOW,8600.0,8600.0,월하재,4598334.0,1
1072216668.0,0,dawn,2,LOW,80000.0,80000.0,김태홍스포츠 아카데미,3000194.0,3
1072492582.0,1,night,3,LOW,135000.0,135000.0,개화당,4604707.0,1
1072693042.0,1,morning,2,LOW,9300.0,9300.0,블루포트,3271004.0,1
1072981377.0,1,afternoon,2,LOW,12200.0,12200.0,메가커피,3244020.0,1
1075408193.0,1,night,3,LOW,67000.0,67000.0,참치공방,3237036.0,1
1077660380.0,0,afternoon,3,LOW,36000.0,36000.0,라프커피,3253048.0,1
1077660380.0,1,afternoon,2,LOW,24200.0,24200.0,라프커피,3253048.0,1
1078163829.0,0,night,8,LOW,182190.0,91095.0,(주)코스트코 코리아,3165031.0,1
1078163829.0,1,afternoon,12,MEDIUM,177000.0,44250.0,(주)코스트코 코리아,3165031.0,1
1078163829.0,1,night,12,MEDIUM,414080.0,69013.33333333333,(주)코스트코 코리아,3165031.0,1
1078188757.0,1,afternoon,2,LOW,10000.0,10000.0,(주)코호인터내셔날,4154065.0,2
